Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
1500000000,-17.34613627,-175.9985054,-535.9985054,-3.589599657,-59.1997032,-419.1997032,-3.42434952,-65.11639119,-425.1163912,-19.47751344,-144.4370526,-504.4370526
1512500000,-13.70307294,-169.925668,-529.925668,-4.295876168,-67.85503555,-427.8550356,-3.624726664,-77.15873924,-437.1587392,-12.84980284,-162.4236232,-522.4236232
1525000000,-15.85141383,179.6739398,-540.3260602,-3.507126188,-76.78062889,-436.7806289,-2.901121698,-85.74870539,-445.7487054,-15.27970911,178.284308,-541.715692
1537500000,-14.37013796,-176.5760002,-536.5760002,-2.122382479,-80.27555582,-440.2755558,-1.903832592,-86.42809863,-446.4280986,-18.56507633,-172.8672304,-532.8672304
1550000000,-16.57661256,174.0850368,-545.9149632,-1.104210955,-80.04654706,-440.0465471,-1.666636321,-84.89492896,-444.894929,-18.89588998,126.7743583,-593.2256417
1562500000,-18.14890675,152.6328836,-567.3671164,-0.75673582,-81.16353743,-441.1635374,-1.901276968,-83.01652929,-443.0165293,-19.56319071,118.5068886,-601.4931114
1575000000,-7.50942461,-105.5068956,-465.5068956,-1.381807244,-44.03725604,-404.037256,-6.966878108,-84.39012525,-444.3901253,-0.611823417,97.33349865,-622.6665014
1587500000,-17.60184949,130.348977,-589.651023,-1.831578218,-91.93948349,-451.9394835,-2.652295158,-97.00415778,-457.0041578,-12.86315104,140.6906299,-579.3093701
1600000000,-17.19880839,141.9658269,-578.0341731,-1.885781221,-102.3369532,-462.3369532,-1.844159705,-106.7713272,-466.7713272,-12.22382101,143.9484161,-576.0515839
1612500000,-19.83947287,-160.5992822,-520.5992822,-0.599390068,-112.4715175,-472.4715175,-0.84266181,-114.9508499,-474.9508499,-14.38247191,124.3042915,-595.6957085
1625000000,-31.9210621,125.939027,-594.060973,-0.150838626,-116.9715551,-476.9715551,0.266233013,-115.2646228,-475.2646228,-18.94436318,135.8274023,-584.1725977
1637500000,-19.75195755,60.51519558,-659.4848044,0.081690755,-118.324183,-478.324183,0.15019409,-115.5615922,-475.5615922,-18.49321046,98.8805821,-621.1194179
1650000000,-19.49816905,87.95795197,-632.042048,-0.416918517,-117.3479695,-477.3479695,-0.73090724,-118.4342088,-478.4342088,-16.374809,113.0900037,-606.9099963
1662500000,-14.22821058,90.60298049,-629.3970195,-1.713667522,-125.2962569,-485.2962569,-1.620973678,-125.7492171,-485.7492171,-21.0158257,112.6223385,-607.3776615
1675000000,-16.90741334,69.09663854,-650.9033615,-1.612290284,-135.3968276,-495.3968276,-2.044785447,-135.8317244,-495.8317244,-15.99283589,78.73229747,-641.2677025
1687500000,-16.7398979,63.34445228,-656.6555477,-1.480404249,-143.7597098,-503.7597098,-1.486519189,-142.9475995,-502.9475995,-18.62894588,66.5643755,-653.4356245
1700000000,-16.3609864,54.7299184,-665.2700816,-0.953760373,-147.6845901,-507.6845901,-1.130842939,-145.526911,-505.526911,-16.57613751,56.58921939,-663.4107806
1712500000,-15.40367887,59.83880188,-660.1611981,-0.991681244,-147.8344685,-507.8344685,-0.902123403,-147.1092469,-507.1092469,-15.83328446,78.11586656,-641.8841334
1725000000,-15.90690998,44.97345803,-675.026542,-1.422012838,-147.9603705,-507.9603705,-1.431574562,-149.5673045,-509.5673045,-20.33638487,83.98277251,-636.0172275
1737500000,-18.91740551,76.58612441,-643.4138756,-2.10320635,-150.958747,-510.958747,-1.824265782,-153.39417,-513.39417,-19.56272779,71.88350984,-648.1164902
1750000000,-19.2389977,52.75820923,-667.2417908,-2.3695589,-160.4292022,-520.4292022,-2.149139218,-160.7047808,-520.7047808,-17.47913499,90.91554202,-629.084458
1762500000,-19.99904568,34.63850103,-685.361499,-1.719208263,-166.4880995,-526.4880995,-2.012063411,-167.9659196,-527.9659196,-18.38178966,92.96277986,-627.0372201
1775000000,-19.97152061,48.24892117,-671.7510788,-1.673235223,-171.3456033,-531.3456033,-1.65843854,-172.8351695,-532.8351695,-24.10958025,104.1941395,-615.8058605
1787500000,-21.52372288,43.18860035,-676.8113996,-1.343231485,-172.518768,-532.518768,-1.337387322,-175.5011797,-535.5011797,-24.68824592,125.3726882,-594.6273118
1800000000,-34.92205335,54.09001649,-665.9099835,-1.513134773,-176.3450489,-536.3450489,-1.521301661,-177.8068709,-537.8068709,-25.2452948,101.0808861,-618.9191139
1812500000,-26.13047783,109.326416,-610.673584,-2.004593379,178.429277,-541.570723,-1.796263563,179.1721886,-540.8278114,-29.17605647,146.9860348,-573.0139652
1825000000,-27.91500609,145.8522584,-574.1477416,-2.272619131,172.0927542,-547.9072458,-2.261324865,176.3090552,-543.6909448,-31.96003749,-156.843288,-516.843288
1837500000,-30.3598463,-168.4217417,-528.4217417,-2.091106193,169.2778876,-550.7221124,-2.377411268,170.0365697,-549.9634303,-24.73425891,174.5650991,-545.4349009
1850000000,-20.78673022,-178.8555945,-538.8555945,-2.230802002,164.4708035,-555.5291965,-2.478102443,168.6003229,-551.3996771,-23.95850166,-171.7731691,-531.7731691
1862500000,-17.58303671,-175.8908271,-535.8908271,-2.959953468,162.7172222,-557.2827778,-2.975094755,164.845169,-555.154831,-20.72934783,-128.5737946,-488.5737946
1875000000,-15.54857526,-175.2433201,-535.2433201,-2.879728784,157.6938361,-562.3061639,-2.948734525,160.9985949,-559.0014051,-17.98001007,-144.5255961,-504.5255961
1887500000,-15.75782066,177.0652213,-542.9347787,-2.915835829,150.6864235,-569.3135765,-2.91041419,152.5883948,-567.4116052,-16.19025932,-168.9076597,-528.9076597
1900000000,-14.26592437,173.2988888,-546.7011112,-2.584195331,151.2956391,-568.7043609,-2.590061174,150.9997243,-569.0002757,-15.5120269,-170.6653516,-530.6653516
1912500000,-12.98704529,171.628401,-548.371599,-2.202477629,151.0272284,-568.9727716,-2.429471902,148.4454048,-571.5545952,-16.33048266,-177.1507367,-537.1507367
1925000000,-11.52696269,167.355711,-552.644289,-2.645199597,149.680552,-570.319448,-2.886846266,147.1614061,-572.8385939,-17.17315831,-176.6519366,-536.6519366
1937500000,-10.0296089,162.9285031,-557.0714969,-3.201750294,146.3075595,-573.6924405,-3.020992393,141.924701,-578.075299,-12.30559311,171.7386509,-548.2613491
1950000000,-9.589239878,167.5689106,-552.4310894,-3.777173728,138.7181281,-581.2818719,-3.610512999,136.8074655,-583.1925345,-13.95248051,175.190355,-544.809645
